stationid,date,in_bike,out_bike
2494.0,2017-03-25,50.0,49.0
2494.0,2017-03-26,42.0,41.0
2494.0,2017-03-27,18.0,30.0
2494.0,2017-03-28,33.0,35.0
2494.0,2017-03-29,28.0,31.0
2494.0,2017-03-30,15.0,25.0
2494.0,2017-03-31,22.0,37.0
2494.0,2017-04-01,39.0,40.0
2494.0,2017-04-02,42.0,42.0
2494.0,2017-04-03,47.0,36.0
2494.0,2017-04-04,30.0,36.0
2494.0,2017-04-05,36.0,31.0
2494.0,2017-04-06,31.0,31.0
2494.0,2017-04-07,33.0,38.0
2494.0,2017-04-08,32.0,41.0
2494.0,2017-04-09,42.0,37.0
2494.0,2017-04-10,34.0,24.0
2494.0,2017-04-11,9.0,18.0
2494.0,2017-04-12,33.0,25.0
2494.0,2017-04-13,29.0,37.0
2494.0,2017-04-14,61.0,66.0
2494.0,2017-04-15,88.0,88.0
2494.0,2017-04-16,51.0,45.0
2494.0,2017-04-17,35.0,30.0
2494.0,2017-04-18,23.0,28.0
2494.0,2017-04-19,23.0,29.0
2494.0,2017-04-20,26.0,26.0
2494.0,2017-04-21,45.0,41.0
2494.0,2017-04-22,14.0,20.0
2494.0,2017-04-23,44.0,44.0
2494.0,2017-04-24,36.0,34.0
2494.0,2017-04-25,20.0,17.0
2494.0,2017-04-26,22.0,18.0
2494.0,2017-04-27,18.0,15.0
2494.0,2017-04-28,30.0,32.0
2494.0,2017-04-29,18.0,31.0
2494.0,2017-04-30,31.0,23.0
2494.0,2017-05-01,17.0,22.0
2494.0,2017-05-02,24.0,30.0
2494.0,2017-05-03,16.0,15.0
2494.0,2017-05-04,16.0,20.0
2494.0,2017-05-05,28.0,29.0
2494.0,2017-05-06,36.0,34.0
2494.0,2017-05-07,24.0,32.0
2494.0,2017-05-08,28.0,28.0
2494.0,2017-05-09,15.0,21.0
2494.0,2017-05-10,10.0,13.0
2494.0,2017-05-11,23.0,26.0
2494.0,2017-05-12,30.0,37.0
2494.0,2017-05-13,37.0,44.0
2494.0,2017-05-14,10.0,16.0
2494.0,2017-05-15,10.0,12.0
2494.0,2017-05-16,20.0,15.0
2494.0,2017-05-17,14.0,17.0
2494.0,2017-05-18,17.0,26.0
2494.0,2017-05-19,23.0,19.0
2494.0,2017-05-20,25.0,32.0
2494.0,2017-05-21,29.0,29.0
2494.0,2017-05-22,25.0,38.0
2494.0,2017-05-23,12.0,11.0
2494.0,2017-05-24,30.0,27.0
2494.0,2017-05-25,28.0,38.0
2494.0,2017-05-26,26.0,32.0
2494.0,2017-05-27,47.0,48.0
2494.0,2017-05-28,63.0,51.0
2494.0,2017-05-29,29.0,34.0
2494.0,2017-05-30,28.0,25.0
2494.0,2017-05-31,25.0,32.0
2494.0,2017-06-01,21.0,26.0
2494.0,2017-06-02,31.0,35.0
2494.0,2017-06-03,33.0,33.0
2494.0,2017-06-04,29.0,28.0
2494.0,2017-06-05,13.0,21.0
2494.0,2017-06-06,12.0,21.0
2494.0,2017-06-07,19.0,14.0
2494.0,2017-06-08,25.0,18.0
2494.0,2017-06-09,32.0,25.0
2494.0,2017-06-10,31.0,37.0
2494.0,2017-06-11,23.0,26.0
2494.0,2017-06-12,29.0,36.0
2494.0,2017-06-13,20.0,18.0
2494.0,2017-06-14,21.0,23.0
2494.0,2017-06-15,21.0,29.0
2494.0,2017-06-16,14.0,21.0
2494.0,2017-06-17,35.0,37.0
2494.0,2017-06-18,15.0,18.0
2494.0,2017-06-19,18.0,21.0
2494.0,2017-06-20,16.0,17.0
2494.0,2017-06-21,4.0,7.0
2494.0,2017-06-22,13.0,19.0
2494.0,2017-06-23,23.0,27.0
2494.0,2017-06-24,32.0,27.0
2494.0,2017-06-25,27.0,24.0
2494.0,2017-06-26,15.0,23.0
2494.0,2017-06-27,15.0,24.0
2494.0,2017-06-28,20.0,21.0
2494.0,2017-06-29,10.0,11.0
2494.0,2017-06-30,11.0,11.0
2494.0,2017-07-01,16.0,32.0
2494.0,2017-07-02,37.0,42.0
2494.0,2017-07-03,46.0,49.0
2494.0,2017-07-04,45.0,31.0
2494.0,2017-07-05,30.0,36.0
2494.0,2017-07-06,30.0,31.0
2494.0,2017-07-07,15.0,18.0
2494.0,2017-07-08,18.0,17.0
2494.0,2017-07-09,22.0,15.0
2494.0,2017-07-10,11.0,13.0
2494.0,2017-07-11,7.0,8.0
2494.0,2017-07-12,17.0,20.0
2494.0,2017-07-13,16.0,16.0
2494.0,2017-07-14,17.0,23.0
2494.0,2017-07-15,13.0,10.0
2494.0,2017-07-16,18.0,16.0
2494.0,2017-07-17,16.0,15.0
2494.0,2017-07-18,13.0,16.0
2494.0,2017-07-19,13.0,12.0
2494.0,2017-07-20,17.0,15.0
2494.0,2017-07-21,12.0,12.0
2494.0,2017-07-22,10.0,6.0
2494.0,2017-07-23,8.0,6.0
2494.0,2017-07-24,18.0,20.0
2494.0,2017-07-25,15.0,22.0
2494.0,2017-07-26,14.0,10.0
2494.0,2017-07-27,11.0,12.0
2494.0,2017-07-28,12.0,10.0
2494.0,2017-07-29,12.0,14.0
2494.0,2017-07-30,18.0,17.0
2494.0,2017-07-31,20.5,21.5
2495.0,2016-06-01,23.0,26.0
2495.0,2016-06-02,23.0,26.0
2495.0,2016-06-03,28.0,33.0
2495.0,2016-06-04,30.0,25.0
2495.0,2016-06-05,30.0,30.0
2495.0,2016-06-06,20.0,27.0
2495.0,2016-06-07,18.0,15.0
2495.0,2016-06-08,20.0,24.0
2495.0,2016-06-09,16.0,22.0
2495.0,2016-06-10,17.0,24.0
2495.0,2016-06-11,11.0,16.0
2495.0,2016-06-12,13.0,11.0
2495.0,2016-06-13,17.0,15.0
2495.0,2016-06-14,19.0,26.0
2495.0,2016-06-15,13.0,18.0
2495.0,2016-06-16,15.0,24.0
2495.0,2016-06-17,19.0,18.0
2495.0,2016-06-18,17.0,26.0
2495.0,2016-06-19,8.0,12.0
2495.0,2016-06-20,14.0,14.0
2495.0,2016-06-21,21.0,24.0
2495.0,2016-06-22,15.0,20.0
2495.0,2016-06-23,17.0,17.0
2495.0,2016-06-24,21.0,25.0
2495.0,2016-06-25,17.0,16.0
2495.0,2016-06-26,16.0,18.0
2495.0,2016-06-27,16.0,26.0
2495.0,2016-06-28,13.0,20.0
2495.0,2016-06-29,12.0,22.0
2495.0,2016-06-30,12.0,21.0
2495.0,2016-07-01,20.0,27.0
2495.0,2016-07-02,16.0,18.0
2495.0,2016-07-03,25.0,27.0
2495.0,2016-07-04,20.0,28.0
2495.0,2016-07-05,23.0,27.0
2495.0,2016-07-06,19.0,23.0
2495.0,2016-07-07,13.0,21.0
2495.0,2016-07-08,17.0,20.0
2495.0,2016-07-09,21.0,16.0
2495.0,2016-07-10,8.0,14.0
2495.0,2016-07-11,17.0,17.0
2495.0,2016-07-12,21.0,27.0
2495.0,2016-07-13,17.0,20.0
2495.0,2016-07-14,11.0,26.0
2495.0,2016-07-15,19.0,16.0
2495.0,2016-07-16,23.0,29.0
2495.0,2016-07-17,12.0,10.0
2495.0,2016-07-18,15.0,20.0
2495.0,2016-07-19,17.0,30.0
2495.0,2016-07-20,17.0,22.0
2495.0,2016-07-21,15.0,23.0
2495.0,2016-07-22,14.0,23.0
2495.0,2016-07-23,10.0,14.0
2495.0,2016-07-24,23.0,29.0
2495.0,2016-07-25,15.0,19.0
2495.0,2016-07-26,19.0,24.0
2495.0,2016-07-27,10.0,6.0
2495.0,2016-07-28,15.0,22.0
2495.0,2016-07-29,23.0,21.0
2495.0,2016-07-30,23.0,29.0
2495.0,2016-07-31,22.0,19.0
2495.0,2016-08-01,16.0,17.0
2495.0,2016-08-02,17.0,17.0
2495.0,2016-08-03,17.0,31.0
2495.0,2016-08-04,20.0,16.0
2495.0,2016-08-05,14.0,22.0
2495.0,2016-08-06,23.0,19.0
2495.0,2016-08-07,21.0,25.0
2495.0,2016-08-08,22.0,22.0
2495.0,2016-08-09,20.0,27.0
2495.0,2016-08-10,17.0,16.0
2495.0,2016-08-11,16.0,28.0
2495.0,2016-08-12,13.0,30.0
